path,extension,type,purpose_guess,is_source,should_keep
app/src/main/AndroidManifest.xml,xml,manifest,App manifest - declares activities services permissions,true,true
app/src/main/java/com/example/autodeliveryapp/BottomNavActivity.java,java,activity,Bottom navigation host - manages tab switching between Main/History/Notification/Profile,true,true
app/src/main/java/com/example/autodeliveryapp/Constants.java,java,constants,App-wide constants: DB_URL MapTiler MQTT FCM prefs Da Nang locations map,true,true
app/src/main/java/com/example/autodeliveryapp/CreateTaskActivity.java,java,activity,Create delivery task - input sender/receiver/addresses/slot - preview A→B route - write to Firebase,true,true
app/src/main/java/com/example/autodeliveryapp/EdgeToEdgeHelper.java,java,util,Edge-to-edge UI helper - applies status bar and nav bar padding/color,true,true
app/src/main/java/com/example/autodeliveryapp/FCMNotificationService.java,java,service,Firebase Cloud Messaging service - receives push tokens and messages,true,true
app/src/main/java/com/example/autodeliveryapp/ForgotPasswordActivity.java,java,activity,Forgot password via Firebase Auth email reset,true,true
app/src/main/java/com/example/autodeliveryapp/HistoryActivity.java,java,activity,Task history list for current user - reads from Firebase tasks node,true,true
app/src/main/java/com/example/autodeliveryapp/LoginActivity.java,java,activity,Login screen - email+password or phone OTP via Firebase Auth,true,true
app/src/main/java/com/example/autodeliveryapp/MainActivity.java,java,activity,Home/main screen - shows active tasks for current user,true,true
app/src/main/java/com/example/autodeliveryapp/NotificationActivity.java,java,activity,Notification inbox - reads from Firebase /notifications/{uid},true,true
app/src/main/java/com/example/autodeliveryapp/ProfileActivity.java,java,activity,User profile screen - show name/phone/email - logout button,true,true
app/src/main/java/com/example/autodeliveryapp/RegisterActivity.java,java,activity,Register new user - email+password+phone - writes to Firebase Auth and /users/{uid},true,true
app/src/main/java/com/example/autodeliveryapp/TrackingActivity.java,java,activity,Live tracking screen - Firebase listener + MQTT telemetry/status/ack + BLE action + MapLibre route C→A→B,true,true
app/src/main/java/com/example/autodeliveryapp/adapters/ActiveTaskAdapter.java,java,adapter,RecyclerView adapter for active tasks list in MainActivity,true,true
app/src/main/java/com/example/autodeliveryapp/adapters/HistoryAdapter.java,java,adapter,RecyclerView adapter for task history list in HistoryActivity,true,true
app/src/main/java/com/example/autodeliveryapp/adapters/NotificationAdapter.java,java,adapter,RecyclerView adapter for notifications list in NotificationActivity,true,true
app/src/main/java/com/example/autodeliveryapp/ble/BleActionCallback.java,java,interface,BLE callback interface - onSuccess / onFailure,true,true
app/src/main/java/com/example/autodeliveryapp/ble/BleConstants.java,java,constants,BLE constants: SERVICE_UUID CHARACTERISTIC_UUID ACTION_CONFIRM_LOADED ACTION_OPEN_SLOT BLE states,true,true
app/src/main/java/com/example/autodeliveryapp/ble/BleGattClient.java,java,ble,Low-level GATT client - connects discovers characteristic writes reads BLE response,true,true
app/src/main/java/com/example/autodeliveryapp/ble/BleManager.java,java,ble,High-level BLE manager - scans for robot by robotId calls BleGattClient executeBleAction,true,true
app/src/main/java/com/example/autodeliveryapp/ble/BlePermissionHelper.java,java,util,BLE permission helper - checks BLUETOOTH_SCAN BLUETOOTH_CONNECT ACCESS_FINE_LOCATION,true,true
app/src/main/java/com/example/autodeliveryapp/ble/BleProtocol.java,java,ble,BLE JSON protocol builder/parser - buildRequest and Response.parse,true,true
app/src/main/java/com/example/autodeliveryapp/ble/BleTokenUtils.java,java,util,Generates 128-bit cryptographically secure hex token (32 chars) for BLE auth,true,true
app/src/main/java/com/example/autodeliveryapp/data/HistoryItem.java,java,model,Data model for history list item,true,true
app/src/main/java/com/example/autodeliveryapp/data/NotificationItem.java,java,model,Data model for notification list item,true,true
